Date,Open,High,Low,Close,Adj Close,Volume
2015-02-25,84.519997,85.360001,84.169998,85.150002,74.484879,3449500
2015-02-26,85.099998,85.099998,83.559998,83.800003,73.303978,4457000
2015-02-27,84.180000,84.180000,82.889999,82.900002,72.516685,4370500
2015-03-02,82.900002,83.070000,82.239998,83.000000,72.604164,4155000
2015-03-03,82.709999,83.790001,82.650002,82.839996,72.464195,4331700
2015-03-04,82.570000,82.610001,80.830002,81.730003,71.493233,6820600
2015-03-05,81.730003,81.730003,80.059998,81.510002,71.300789,7123500
2015-03-06,80.370003,81.209999,79.550003,80.059998,70.032394,7913800
2015-03-09,80.169998,81.339996,80.099998,80.809998,70.688454,4740500
2015-03-10,80.019997,80.760002,79.739998,79.910004,69.901184,4830000
2015-03-11,80.150002,80.150002,79.260002,79.699997,69.717491,4612200
2015-03-12,80.269997,80.480003,79.800003,80.190002,70.146111,3612500
2015-03-13,79.900002,79.910004,78.190002,79.230003,69.306351,7272700
2015-03-16,79.570000,80.000000,79.059998,79.970001,69.953674,3598500
2015-03-17,79.349998,79.349998,78.250000,78.449997,68.624054,6976700
2015-03-18,78.250000,81.440002,78.250000,81.330002,71.143326,12150500
2015-03-19,80.500000,80.500000,79.559998,80.089996,70.058624,5236200
2015-03-20,80.620003,81.250000,80.190002,81.190002,71.020874,8216600
2015-03-23,81.190002,81.919998,81.019997,81.089996,70.933388,4701200
2015-03-24,81.150002,81.199997,80.199997,80.480003,70.399796,3978700
2015-03-25,81.029999,81.040001,79.830002,79.860001,69.857452,4803000
2015-03-26,79.639999,80.800003,79.510002,79.879997,69.874954,4238500
2015-03-27,79.459999,79.879997,78.760002,79.669998,69.691246,6336900
2015-03-30,80.010002,81.519997,80.000000,81.370003,71.178322,4621200
2015-03-31,80.510002,80.650002,79.809998,80.029999,70.006149,4848600
2015-04-01,80.029999,80.519997,79.389999,79.639999,69.665001,4439700
2015-04-02,79.599998,80.500000,79.400002,80.239998,70.189842,3555300
2015-04-06,80.349998,82.000000,79.980003,81.489998,71.283279,4495400
2015-04-07,81.220001,81.430000,80.500000,80.540001,70.452286,3526300
2015-04-08,80.839996,81.239998,79.919998,80.440002,70.364807,4196200
2015-04-09,80.500000,81.209999,80.279999,80.680000,70.574745,4291900
2015-04-10,81.099998,82.800003,80.739998,82.599998,72.254250,6831900
2015-04-13,82.599998,82.610001,81.599998,82.139999,71.851875,5293900
2015-04-14,82.550003,83.239998,81.540001,83.000000,72.604164,5888100
2015-04-15,83.290001,85.730003,83.000000,85.160004,74.493622,9643800
2015-04-16,84.400002,84.900002,84.000000,84.339996,74.387779,5692300
2015-04-17,83.500000,83.589996,82.660004,83.279999,73.452873,5314000
2015-04-20,83.959999,84.750000,83.879997,84.599998,74.617096,3916600
2015-04-21,84.660004,84.970001,83.610001,83.919998,74.017357,5620900
2015-04-22,84.129997,84.940002,83.089996,84.870003,74.855232,6520700
2015-04-23,86.849998,87.500000,83.849998,84.790001,74.784683,18917600
2015-04-24,84.699997,85.169998,84.019997,84.599998,74.617096,5848100
2015-04-27,84.769997,85.940002,84.400002,85.330002,75.260948,5912000
2015-04-28,85.419998,86.220001,84.500000,86.199997,76.028297,5736500
2015-04-29,85.690002,87.919998,85.459999,87.500000,77.174911,7021800
2015-04-30,86.849998,87.300003,86.230003,86.879997,76.628044,5460100
2015-05-01,87.690002,88.279999,86.760002,87.370003,77.060242,4850100
2015-05-04,87.730003,87.959999,87.169998,87.300003,76.998512,2754500
2015-05-05,87.570000,88.220001,86.699997,87.000000,76.733894,4623700
2015-05-06,87.750000,87.940002,86.419998,86.989998,76.725082,4464700
2015-05-07,86.650002,86.879997,85.889999,86.430000,76.231171,3892800
2015-05-08,87.779999,87.839996,86.699997,87.309998,77.007309,3577100
2015-05-11,88.400002,89.440002,88.089996,88.769997,78.295044,6882600
2015-05-12,88.190002,88.339996,87.260002,88.160004,77.757027,4066400
2015-05-13,88.589996,89.070000,88.209999,88.440002,78.003983,3178300
